query_id,query_number,agent_category,answer_key_status,included_in_final_accuracy,evaluation_split,adjudication_scope,verdict,final_score_for_accuracy,answer_correctness,answer_relevancy,numeric_f1,required_claim_recall,lexical_reference_similarity,unit_consistency,contexts_available,num_contexts,faithfulness,context_precision,context_recall,context_sufficiency,context_utilization,rag_composite,notes
D1,1,Data Agent,CLEAN,True,final_accuracy,FINAL,FAIL,0.10346984126984127,0.05811111111111111,0.36050264550264555,,0.13428571428571429,0.07407407407407407,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
D2,2,Data Agent,CLEAN,True,final_accuracy,FINAL,FAIL,0.15355408799382592,0.08794871794871795,0.5253178515827712,,0.19999999999999998,0.11965811965811965,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
D3,3,Data Agent,CLEAN,True,final_accuracy,FINAL,FAIL,0.2228796057767369,0.15173809523809523,0.6260148321623732,,0.3233333333333333,0.2571428571428572,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
D4,4,Data Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,FAIL,0.39448611474297957,0.3457901689103735,0.6704298077944143,,0.3713099688035749,0.2692307692307693,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
A1,5,Analysis Agent,CLEAN,True,final_accuracy,FINAL,FAIL,0.28330865384615384,0.21025,0.6973076923076924,0.0,0.515,0.2,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
A2,6,Analysis Agent,CLEAN,True,final_accuracy,FINAL,FAIL,0.22986774891774886,0.1509393939393939,0.6771284271284271,0.0,0.3533333333333333,0.18181818181818182,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
A3,7,Analysis Agent,CLEAN,True,final_accuracy,FINAL,FAIL,0.29853320559721963,0.2493140845070422,0.5774415584415585,,0.6579999999999999,0.1267605633802817,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
A4,8,Analysis Agent,CLEAN,True,final_accuracy,FINAL,FAIL,0.3760644736842105,0.3510588235294117,0.5177631578947369,,0.94,0.14705882352941177,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
R1,9,Research Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PARTIAL,0.5865137669851593,0.5792549507783882,0.6276470588235296,,0.7088478708791208,0.19047619047619047,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
R2,10,Research Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,FAIL,0.44437779817534484,0.424985294117647,0.5542686545022995,0.16666666666666669,0.9511538461538461,0.28054298642533937,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
R3,11,Research Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,FAIL,0.20663018032256314,0.1534273874994599,0.508112672986815,,0.34838764226365027,0.20994475138121546,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
R4,12,Research Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,FAIL,0.24268496870899997,0.19062769681971456,0.5376761760816173,,0.45011274721599126,0.22058823529411767,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
P1,13,Prediction Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,FAIL,0.4387932407981251,0.4041458566629339,0.6351284175642088,0.39999999999999997,0.5186842105263157,0.23404255319148937,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
P2,14,Prediction Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,FAIL,0.4934902094250778,0.4763308080808081,0.5907268170426065,0.5882352941176471,0.4601515151515151,0.25,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
P3,15,Prediction Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,FAIL,0.35587879108291476,0.299631156930126,0.6746153846153846,0.125,0.6266666666666666,0.16494845360824742,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
P4,16,Prediction Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,FAIL,0.3148692839189391,0.26689396013025873,0.5867294520547945,,0.6321193891920436,0.30434782608695654,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
S1,17,Synthesis Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,FAIL,0.13574679485466268,0.028597726385636214,0.46648207737783437,,0.025501700680272108,0.13114754098360654,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
S2,18,Synthesis Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.839015062597809,0.36455303030303027,0.49106025039123635,,0.955,0.20202020202020202,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
S3,19,Synthesis Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,FAIL,0.22020686583311608,0.08145200579819453,0.37267445093133167,,0.16938433746704423,0.14778325123152708,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Qualitative row calibrated using claim coverage and relevancy.
