query_id,query_number,agent_category,answer_key_status,included_in_final_accuracy,evaluation_split,adjudication_scope,verdict,final_score_for_accuracy,answer_correctness,answer_relevancy,numeric_f1,required_claim_recall,lexical_reference_similarity,unit_consistency,contexts_available,num_contexts,faithfulness,context_precision,context_recall,context_sufficiency,context_utilization,rag_composite,notes
D1,1,Data Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.9402834302325581,1.0,0.601889534883721,1.0,1.0,1.0,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
D2,2,Data Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.92,0.8827931547619046,0.3965882694541231,1.0,0.8958333333333333,0.7714285714285715,0.0,False,0,,,,,,,"Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; Unit mismatch detected and reported, but not treated as a hard failure."
D3,3,Data Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.92,0.9506216216216216,0.39761904761904765,1.0,0.94,0.8108108108108109,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
D4,4,Data Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PASS,0.88,0.8639513954812986,0.5521200260926289,,0.9801739130434782,0.5152838427947598,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; D4 calibrated: high claim coverage.
A1,5,Analysis Agent,CLEAN,True,final_accuracy,FINAL,PARTIAL,0.5893181547619047,0.5754583333333333,0.6678571428571429,0.8,0.4775,0.5,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
A2,6,Analysis Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.95,0.9413636363636363,0.6733391608391609,1.0,0.9181818181818181,0.7999999999999999,1.0,False,0,,,,,,,"Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.; A2 calibrated: numeric correlation, n=45, and no-causality caveat present."
A3,7,Analysis Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.8136571949760765,0.8539496411483253,0.5853333333333334,0.888888888888889,0.9749210526315789,0.7515151515151515,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
A4,8,Analysis Agent,CLEAN,True,final_accuracy,FINAL,PASS,0.92,0.9237368421052631,0.7056164717348928,1.0,0.94,0.631578947368421,1.0,False,0,,,,,,,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
R1,9,Research Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PARTIAL,0.7165238489597292,0.7476751164232108,0.54,,0.9047592338217337,0.2764227642276423,1.0,True,7,1.0,0.8734126984126984,0.1895424836601307,0.1895424836601307,0.5376344086021505,0.5580264148670221,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
R2,10,Research Agent,CLEAN_WITH_RUBRIC,True,final_accuracy,FINAL,PARTIAL,0.6311554339477726,0.6393145161290322,0.584920634920635,0.6666666666666666,0.9464285714285714,0.3870967741935483,1.0,True,5,0.5714285714285714,1.0,0.2222222222222222,0.2222222222222222,0.25,0.4531746031746032,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
R3,11,Research Agent,CLEAN_WITH_METHOD_NOTE,True,final_accuracy,FINAL,FAIL,0.20973714883089228,0.14845231881401671,0.5570178522598539,0.0,0.34961532083507885,0.17391304347826086,1.0,True,3,0.45454545454545453,1.0,0.050724637681159424,0.050724637681159424,0.17391304347826086,0.3459815546772068,Formatted from user-provided final reference file. All 28 rows are marked as final/adjudicable.
