section,label,n,adjudicated_n,not_adjudicated,pass,partial,fail,missing,strict_pass_rate,pass_or_partial_rate,mean_answer_correctness,mean_answer_relevancy,mean_rag_composite,mean_faithfulness,mean_context_precision,mean_context_recall,rows_with_contexts
all_rows,all_rows,28,28,0,3,3,22,0,0.107,0.214,0.274,0.545,,,,,0
final_accuracy_rows_only,final_accuracy_rows_only,28,28,0,3,3,22,0,0.107,0.214,0.274,0.545,,,,,0
diagnostic_only_rows,diagnostic_only_rows,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0
rows_with_retrieved_contexts,rows_with_retrieved_contexts,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0
by_category_all_rows,Analysis Agent,4,4,0,0,0,4,0,0.0,0.0,0.24,0.617,,,,,0
by_category_all_rows,Data Agent,4,4,0,0,0,4,0,0.0,0.0,0.161,0.546,,,,,0
by_category_all_rows,Ethics Agent,4,4,0,0,2,2,0,0.0,0.5,0.269,0.547,,,,,0
by_category_all_rows,Prediction Agent,4,4,0,0,0,4,0,0.0,0.0,0.362,0.622,,,,,0
by_category_all_rows,Research Agent,4,4,0,0,1,3,0,0.0,0.25,0.337,0.557,,,,,0
by_category_all_rows,Synthesis Agent,4,4,0,1,0,3,0,0.25,0.25,0.147,0.46,,,,,0
by_category_all_rows,Text Mining Agent,4,4,0,2,0,2,0,0.5,0.5,0.402,0.47,,,,,0
by_category_final_rows,Analysis Agent,4,4,0,0,0,4,0,0.0,0.0,0.24,0.617,,,,,0
by_category_final_rows,Data Agent,4,4,0,0,0,4,0,0.0,0.0,0.161,0.546,,,,,0
by_category_final_rows,Ethics Agent,4,4,0,0,2,2,0,0.0,0.5,0.269,0.547,,,,,0
by_category_final_rows,Prediction Agent,4,4,0,0,0,4,0,0.0,0.0,0.362,0.622,,,,,0
by_category_final_rows,Research Agent,4,4,0,0,1,3,0,0.0,0.25,0.337,0.557,,,,,0
by_category_final_rows,Synthesis Agent,4,4,0,1,0,3,0,0.25,0.25,0.147,0.46,,,,,0
by_category_final_rows,Text Mining Agent,4,4,0,2,0,2,0,0.5,0.5,0.402,0.47,,,,,0
by_answer_key_status,CLEAN,10,10,0,1,1,8,0,0.1,0.2,0.214,0.55,,,,,0
by_answer_key_status,CLEAN_WITH_METHOD_NOTE,9,9,0,1,1,7,0,0.111,0.222,0.336,0.575,,,,,0
by_answer_key_status,CLEAN_WITH_RUBRIC,9,9,0,1,1,7,0,0.111,0.222,0.279,0.511,,,,,0
