section,label,n,adjudicated_n,not_adjudicated,pass,partial,fail,missing,strict_pass_rate,pass_or_partial_rate,mean_answer_correctness,mean_answer_relevancy,mean_rag_composite,mean_faithfulness,mean_context_precision,mean_context_recall,rows_with_contexts
all_rows,all_rows,28,28,0,16,5,7,0,0.571,0.75,0.584,0.536,,,,,0
final_accuracy_rows_only,final_accuracy_rows_only,28,28,0,16,5,7,0,0.571,0.75,0.584,0.536,,,,,0
diagnostic_only_rows,diagnostic_only_rows,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0
rows_with_retrieved_contexts,rows_with_retrieved_contexts,0,0,0,0,0,0,0,0.0,0.0,,,,,,,0
by_category_all_rows,Analysis Agent,4,4,0,3,1,0,0,0.75,1.0,0.816,0.643,,,,,0
by_category_all_rows,Data Agent,4,4,0,4,0,0,0,1.0,1.0,0.923,0.487,,,,,0
by_category_all_rows,Ethics Agent,4,4,0,1,3,0,0,0.25,1.0,0.521,0.535,,,,,0
by_category_all_rows,Prediction Agent,4,4,0,3,0,1,0,0.75,0.75,0.437,0.598,,,,,0
by_category_all_rows,Research Agent,4,4,0,0,1,3,0,0.0,0.25,0.309,0.539,,,,,0
by_category_all_rows,Synthesis Agent,4,4,0,3,0,1,0,0.75,0.75,0.602,0.483,,,,,0
by_category_all_rows,Text Mining Agent,4,4,0,2,0,2,0,0.5,0.5,0.476,0.466,,,,,0
by_category_final_rows,Analysis Agent,4,4,0,3,1,0,0,0.75,1.0,0.816,0.643,,,,,0
by_category_final_rows,Data Agent,4,4,0,4,0,0,0,1.0,1.0,0.923,0.487,,,,,0
by_category_final_rows,Ethics Agent,4,4,0,1,3,0,0,0.25,1.0,0.521,0.535,,,,,0
by_category_final_rows,Prediction Agent,4,4,0,3,0,1,0,0.75,0.75,0.437,0.598,,,,,0
by_category_final_rows,Research Agent,4,4,0,0,1,3,0,0.0,0.25,0.309,0.539,,,,,0
by_category_final_rows,Synthesis Agent,4,4,0,3,0,1,0,0.75,0.75,0.602,0.483,,,,,0
by_category_final_rows,Text Mining Agent,4,4,0,2,0,2,0,0.5,0.5,0.476,0.466,,,,,0
by_answer_key_status,CLEAN,10,10,0,8,2,0,0,0.8,1.0,0.81,0.559,,,,,0
by_answer_key_status,CLEAN_WITH_METHOD_NOTE,9,9,0,5,1,3,0,0.556,0.667,0.463,0.553,,,,,0
by_answer_key_status,CLEAN_WITH_RUBRIC,9,9,0,3,2,4,0,0.333,0.556,0.452,0.494,,,,,0
